ReturnsStd,TimestepsMean,Eta,TimestepsStd,DualBefore,WeightMedian,ReturnsMean,DualAfter,DeltaOmega,Omega,LossReg,WeightMax,Primal,DualReg,Epsilon,WeightMin,Wins,NormDeltaVar,RewardStd,WeightMean,ITERATIONS,Traj,ConfortViolation,RewardMean,OmegaBefore,NormDeltaOmega
51.01086508078622,500.0,4.975499261179799,0.0,6.689377888903421,0.20031205689827428,1171.1515151515152,4.057573193110002,[[-0.47130734]],[[0.32869266]],0.0,1.0,4.057573194352039,0.0,0.1901,0.13400896813335633,0.0,30.005689344223295,2.4233229364655466,0.13400896813335633,0,100,0,2.34384,[[0.8]],0.4713073351727298
102.277862447461,500.0,6.812563143526811,0.0,8.71531801057899,0.30903490655293675,1729.1919191919192,5.9511524196084915,[[-0.13260877]],[[0.1960839]],0.0,1.0,5.951152113204252,0.0,0.1901,0.2304142961455996,0.0,9.954977119037235,3.7723572681282453,0.2304142961455996,1,100,0,3.45804,[[0.32869266]],0.13260876635365657
128.62959256905535,500.0,6.7186766563739955,0.0,9.341552886091838,0.3040051391784239,2517.939393939394,7.7161739177871596,[[-0.10301656]],[[0.09306734]],0.0,1.0,7.716173964636295,0.0,0.1901,0.2257361723390459,0.0,12.36846584943211,4.4062855814847035,0.2257361723390459,2,100,0,5.03588,[[0.1960839]],0.10301655976771733
122.21050782829866,500.0,4.648891843038624,0.0,9.807825177103187,1.0,3593.838383838384,9.430219230451677,[[-0.07175055]],[[0.02131679]],0.0,1.0,9.430219211746053,0.0,0.1901,0.11636188353539824,0.0,22.14239869507003,4.170876719156298,0.11636188353539824,3,100,0,7.19044,[[0.09306734]],0.0717505451523169
83.98074805740417,500.0,0.009539890145502532,0.0,10.102757218413505,1.0,4623.959595959596,10.000979845643393,[[-0.02131679]],[[1.68913887e-09]],0.0,1.0,9.999999999996952,0.0,0.1901,0.0,0.0,233.89048814680106,2.5069974388499086,0.0,4,100,0,9.24804,[[0.02131679]],0.021316791864440562
0.0,500.0,0.006839584734853871,0.0,10.188098088311145,1.0,4990.0,10.001286512191191,[[0.]],[[1.68913887e-09]],0.0,1.0,9.999999999997792,0.0,0.1901,0.0,0.0,0.0,0.4467661580737735,0.0,5,100,0,9.98,[[1.68913887e-09]],0.0
0.0,500.0,0.006839584734853871,0.0,10.188098088311145,1.0,4990.0,10.001286512191191,[[0.]],[[1.68913887e-09]],0.0,1.0,9.999999999997792,0.0,0.1901,0.0,0.0,0.0,0.4467661580737735,0.0,6,100,0,9.98,[[1.68913887e-09]],0.0
0.0,500.0,0.006839584734853871,0.0,10.188098088311145,1.0,4990.0,10.001286512191191,[[0.]],[[1.68913887e-09]],0.0,1.0,9.999999999997792,0.0,0.1901,0.0,0.0,0.0,0.4467661580737735,0.0,7,100,0,9.98,[[1.68913887e-09]],0.0
0.0,500.0,0.006839584734853871,0.0,10.188098088311145,1.0,4990.0,10.001286512191191,[[0.]],[[1.68913887e-09]],0.0,1.0,9.999999999997792,0.0,0.1901,0.0,0.0,0.0,0.4467661580737735,0.0,8,100,0,9.98,[[1.68913887e-09]],0.0
0.0,500.0,0.006839584734853871,0.0,10.188098088311145,1.0,4990.0,10.001286512191191,[[0.]],[[1.68913887e-09]],0.0,1.0,9.999999999997792,0.0,0.1901,0.0,0.0,0.0,0.4467661580737735,0.0,9,100,0,9.98,[[1.68913887e-09]],0.0
0.0,500.0,0.006839584734853871,0.0,10.188098088311145,1.0,4990.0,10.001286512191191,[[0.]],[[1.68913887e-09]],0.0,1.0,9.999999999997792,0.0,0.1901,0.0,0.0,0.0,0.4467661580737735,0.0,10,100,0,9.98,[[1.68913887e-09]],0.0
0.0,500.0,0.006839584734853871,0.0,10.188098088311145,1.0,4990.0,10.001286512191191,[[0.]],[[1.68913887e-09]],0.0,1.0,9.999999999997792,0.0,0.1901,0.0,0.0,0.0,0.4467661580737735,0.0,11,100,0,9.98,[[1.68913887e-09]],0.0
0.0,500.0,0.006839584734853871,0.0,10.188098088311145,1.0,4990.0,10.001286512191191,[[0.]],[[1.68913887e-09]],0.0,1.0,9.999999999997792,0.0,0.1901,0.0,0.0,0.0,0.4467661580737735,0.0,12,100,0,9.98,[[1.68913887e-09]],0.0
0.0,500.0,0.006839584734853871,0.0,10.188098088311145,1.0,4990.0,10.001286512191191,[[0.]],[[1.68913887e-09]],0.0,1.0,9.999999999997792,0.0,0.1901,0.0,0.0,0.0,0.4467661580737735,0.0,13,100,0,9.98,[[1.68913887e-09]],0.0
0.0,500.0,0.006839584734853871,0.0,10.188098088311145,1.0,4990.0,10.001286512191191,[[0.]],[[1.68913887e-09]],0.0,1.0,9.999999999997792,0.0,0.1901,0.0,0.0,0.0,0.4467661580737735,0.0,14,100,0,9.98,[[1.68913887e-09]],0.0
0.0,500.0,0.006839584734853871,0.0,10.188098088311145,1.0,4990.0,10.001286512191191,[[0.]],[[1.68913887e-09]],0.0,1.0,9.999999999997792,0.0,0.1901,0.0,0.0,0.0,0.4467661580737735,0.0,15,100,0,9.98,[[1.68913887e-09]],0.0
0.0,500.0,0.006839584734853871,0.0,10.188098088311145,1.0,4990.0,10.001286512191191,[[0.]],[[1.68913887e-09]],0.0,1.0,9.999999999997792,0.0,0.1901,0.0,0.0,0.0,0.4467661580737735,0.0,16,100,0,9.98,[[1.68913887e-09]],0.0
0.0,500.0,0.006839584734853871,0.0,10.188098088311145,1.0,4990.0,10.001286512191191,[[0.]],[[1.68913887e-09]],0.0,1.0,9.999999999997792,0.0,0.1901,0.0,0.0,0.0,0.4467661580737735,0.0,17,100,0,9.98,[[1.68913887e-09]],0.0
0.0,500.0,0.006839584734853871,0.0,10.188098088311145,1.0,4990.0,10.001286512191191,[[0.]],[[1.68913887e-09]],0.0,1.0,9.999999999997792,0.0,0.1901,0.0,0.0,0.0,0.4467661580737735,0.0,18,100,0,9.98,[[1.68913887e-09]],0.0
0.0,500.0,0.006839584734853871,0.0,10.188098088311145,1.0,4990.0,10.001286512191191,[[0.]],[[1.68913887e-09]],0.0,1.0,9.999999999997792,0.0,0.1901,0.0,0.0,0.0,0.4467661580737735,0.0,19,100,0,9.98,[[1.68913887e-09]],0.0
